NEIGHBORHOOD,BOROUGH,BLOCK,LOT,MULTI-LOT,DATE,PRICE,LOT AREA,LOT FRONTAGE,LOT TYPE,ZONING 1,ZONING 2,OVERLAY 1,OVERLAY 2,SPECIAL DISTRICT,MIH/VIH,BASE FAR,BASE ZFA,PPZFA
Downtown Flushing,Queens,4973,6,No,45342,11400000,8388,225,Corner,C4-2,,,,,,3.4,28519,677
Greenwood Heights,Brooklyn,885,5,No,45342,19300000,10200,120.33,Corner,R6A,,C2-4,,,,1,10200,1118
SoHo,Manhattan,502,42,No,45338,21000000,5507,82.58,Through,R7-2,,C1-5,,,,3.44,18944,1109
Ditmars Steinway,Queens,835,37,No,45337,4250000,4501,140.02,Corner,C4-3,,,,,,3.4,15303,278
Bay Ridge,Brooklyn,5961,67,No,45336,1750000,6000,60,Interior,R4-1,,,,BR,,0.75,4500,389
Whitestone,Queens,4538,"70, 74",Yes,45336,3000000,14565,242.58,Corner,R2A,R3-1,C1-2,,,,0.5,7283,412
Bensonhurst,Brooklyn,6580,45,No,45335,1115000,4000,40,Interior,R6,,,,,,2.2,8800,127
Corona,Queens,1820,6,No,45331,2400000,5226,42.08,Interior,C4-4,,,,WP,,4,20904,115
Williamsburg,Brooklyn,2266,40,No,45329,81850000,5000,50,Interior,R7A,,,,,VIH,3.45,17249,145
Downtown Flushing,Queens,5145,90,No,45329,2500000,69757,213.33,Interior,R7-1,,,,,,3.44,239964,341
Woodstock,The Bronx,2623,"165, 156",Yes,45328,2700000,7650,50,Interior,R7-1,,C2-4,,,,3.44,26050,104
Homecrest,Brooklyn,6684,39,No,45327,3750000,4000,40,Interior,R5,,,,OP,,1.25,5000,750
Jamaica Hills,Queens,"9769, 9767","68, 64, 26",Yes,45324,17000000,40218,607,Corner,R7A,,C2-4,,DJ,VIH,3.45,138752,137
Long Island City,Queens,316,13,No,45324,19000000,22760,327.6,Corner,R7A,,M1-4,,MX-23,MIH,4.6,104858,162
East New York,Brooklyn,3989,"16,18",Yes,45322,2625000,6500,165,Corner,R6A ,,C2-4,,,MIH,3.6,35513,74
Windsor Terrace,Brooklyn,5259,17,No,45322,3500000,5586,67.67,Through,R6A,R5B,,,,,2,14579,240
Long Island City,Queens,331,"27, 38",Yes,45316,21500000,29023,367,Corner,R6A,,C1-3,,,MIH,3.6,104483,206
Bath Beach,Brooklyn,6443,21,No,45315,1400000,5800,60,Interior,R5,,,,,,1.25,7250,193
West Farms,The Bronx,3124,67,No,45314,4200000,3189,50.01,Corner,R7-1,,,,,,4,65940,44
Jamaica,Queens,9817,"46, 43",Yes,45314,2885000,12981,101.42,Interior,R6A,,,,,,3,38943,108
Brownsville,Brooklyn,3585,"29, 28, 129, 30, 130, 31, 131, 32",Yes,45313,1350000,16016,268,Corner,R6,,,,,,2.2,35235,108
Prospect Lefferts Gardens,Brooklyn,4801,58,No,45313,3791407,4000,40,Interior,R6,,,,,,2.2,8800,153
Baychester,The Bronx,4758,25,No,45310,1700000,11970,126,Through,R5,,,,,,1.25,14963,114
Downtown Flushing,Queens,4972,59,No,45309,13000000,7100,50,Interior,C4-2,,,,,,3.4,33875,384
Richmond Hill,Queens,9349,37,No,45308,1600000,5580,152,Corner,R6A,,C2-3,,,,3,16740,96
Far Rockaway,Queens,15559,58,No,45302,22000000,10176,74.2,Interior,R6,,C2-4,,DFR,MIH,3.6,36634,131
Corona,Queens,1820,"108, 34",Yes,45302,12300000,19800,120,Through,C4-4,,,,WP,,3.4,67320,183
Carnegie Hill,Manhattan,1495,156,No,45302,4800000,1248,85.75,Corner,C5-1,,,,MP,,10,12480,1763
West Farms,The Bronx,3016,33,No,45301,4000000,2945,126,Corner,R8X,,C2-4,,,VIH,5.4,15903,154
Homecrest,Brooklyn,7324,"31, 34",Yes,45301,2450000,5910,47,Interior,R7A,,,,,,4,23640,169
Long Island City,Queens,386,23,No,45301,3700000,6919,75.12,Interior,M1-2/R5B,,,,LIC,,1.65,11416,324
Bushwick,Brooklyn,3294,31,No,45296,3200000,6730,77,Interior,R6,,,,,,3.00/2.20,52238,134
Mount Eden,The Bronx,2820,"51, 52, 54",Yes,45296,6975000,5176,50,Interior,R7-1,,,,,,4,20704,155
Jamaica,Queens,9997,15,No,45294,4608000,6419,130,Corner,C6-3,,,,DJ,VIH,8,31812,145
Williamsburg,Brooklyn,2734,"2, 3",Yes,45293,4180000,5000,50,Interior,M1-2/R6,,,,MX-8,VIH,2.2,11000,380
Fort Greene,Brooklyn,2003,19,No,45288,12048550,14688,146.88,Interior,R7A,,,,,VIH,3.45,116455,103
Coney Island,Brooklyn,8696,"48, 49, 47, 50",Yes,45288,2500000,9238,96.75,Interior,C7,,,,CL,,2,18476,135
Greenwood Heights,Brooklyn,635,13,No,45288,248000000,690000,175,Interior,M3-1,,,,,,2,1380000,180
Bensonhurst,Brooklyn,6205,84,No,45287,1268000,4000,40,Interior,R5,,C1-2,,,,1.25,5000,254
Williamsburg,Brooklyn,2857,54,No,45287,3500001,6250,62.5,Interior,R6B,,,,,,2,8760,400
Williamsburg,Brooklyn,3100,"34, 22, 26, 32, 66, 67, 68, 56, 61, 63, 47",Yes,45282,15875000,101447,863.42,Corner,M1-2,M1-1,,,,,2.00/1.00,152171,272
Yorkville,Manhattan,1529,4,No,45282,41450000,2596,25.5,Interior,C1-9,,,,,,10,25913,338
Chelsea,Manhattan,779,69,No,45282,8750000,4937,50,Interior,M1-6D,,,,,VIH,2,9874,1608
Williamsburg,Brooklyn,2146,14,No,45281,3950000,5000,50,Interior,R6,,,,,,2.2,11000,359
Dyker Heights,Brooklyn,6242,71,No,45281,1800000,6000,60,Interior,R4-1,,,,,,0.75,2987,603
Kingsbridge,The Bronx,5766,"757, 761, 763",Yes,45280,7100000,20000,400,Corner,R4,,C2-3,,,,1,20000,355
Murray Hill,Manhattan,866,16,No,45274,12000000,3521,132.5,Corner,C5-2,,,,,,10,35210,341
Two Bridges,Manhattan,276,"59, 2",Yes,45274,64000000,10316,208.33,Corner,R7-2,,C1-5,,,,4.00/3.44,39784,364
South Ozone Park,Queens,12099,30,No,45274,14500000,129229,315.23,Interior,C4-2,,,,,,3.4,145797,439
East Flatbush,Brooklyn,4603,1,No,45273,26672250,62820,730.64,Corner,R6,C8-2,,,,,2.20/2.00,338611,79
